page_id	title	creation	age	views	page_edits	editors	len	references	talks	talkers	links	linked	urls	ref_urls	ref_pubs
18892704	List_of_2000_Summer_Olympics_medal_winners	2008	12	2656	793	110	129011	2	8	2	2346	101	6	2	0
18904468	Trial_of_Arne_Cheyenne_Johnson	2008	12	2708866	411	188	17095	11	36	19	41	28	11	9	2
18904865	List_of_the_first_women_holders_of_political_offices_in_Europe	2008	12	2578	1206	297	288491	713	24	16	1638	6	777	705	145
18914017	Alzheimer's_disease	2001	19	347657	8358	2822	172658	323	2906	481	751	4865	215	72	277
18933066	Florida	2001	20	604103	9499	3449	237497	285	1149	428	1863	38930	348	271	5
18933396	Augusto_Pinochet	2002	19	258181	8590	3382	140322	105	2362	467	553	1222	218	86	28
18933424	Satyajit_Ray	2001	19	383203	3779	1396	98215	124	209	78	2436	2910	156	59	17
18934980	Rick_Alan_Ross	2004	17	11874	2879	388	25719	22	3970	173	124	27	43	16	8
18935398	List_of_1996_Summer_Olympics_medal_winners	2008	12	1884	241	75	116058	1	4	4	2158	79	2	1	0
18935551	Public_domain	2001	19	191504	4041	2315	50649	41	543	248	345	72720	68	34	17
18935732	Associated_Press	2002	19	138144	2238	1247	76787	71	272	116	438	36080	135	70	7
18938098	Free_Republic	2003	17	2969	3689	998	32539	29	3353	270	121	46	52	26	1
18938115	21st_century	2001	19	166485	8292	4032	135703	58	385	210	1377	1962	120	57	3
18938265	"""Weird_Al""_Yankovic"	2002	18	312103	9148	4361	179805	208	1503	550	846	1303	240	192	3
18944081	Library_of_Congress	2001	19	110410	2138	1238	73643	72	435	142	805	17577	130	58	10
18945847	Hip_hop_music	2003	18	311125	10215	4364	205519	165	1316	520	1464	23439	239	137	25
18949668	Law	2001	19	160304	7396	3227	166418	190	722	228	1002	8589	144	88	114
18949819	Recording_Industry_Association_of_America	2002	19	81394	2920	1592	45779	51	515	234	115	17062	85	51	0
18951490	American_football	2001	19	268062	10746	4567	142326	133	1675	560	852	55360	159	127	7
18951905	Argentina	2001	19	718773	14376	5308	250011	229	2294	674	1668	80410	267	168	60
18952243	Changi_Airport	2002	18	57643	10674	3277	128531	131	674	140	429	255	204	123	0
18953024	Paleocene	2001	20	30963	1099	478	145845	186	32	19	569	1650	245	89	153
18955875	Tree	2001	19	205553	5659	2459	108137	169	1051	463	679	4513	157	133	51
18959138	Antarctica	2001	19	441312	8700	4221	145076	155	1218	505	1143	12125	257	129	40
18963910	Geography	2001	19	148375	3798	2064	44349	33	323	196	473	12084	46	26	17
18973446	Geometry	2006	14	101245	3031	1495	82463	111	269	117	513	3804	132	99	98
18978563	Domestic_violence	2001	19	204990	7454	2636	313093	380	2295	333	670	3008	385	261	191
18978754	Apple	2001	19	249921	6572	3252	79013	76	1697	822	602	2238	124	48	39
18978770	Birth_control	2001	19	79191	5251	2038	139192	213	931	155	744	2381	159	112	157
18984536	List_of_English_people	2002	18	7523	2421	1026	104352	13	119	54	2053	184	13	12	0
18985263	History_of_art	2003	18	51104	4001	797	302943	60	194	88	2370	731	96	24	19
18994141	Stormfront_(website)	2004	16	69860	4589	1487	64820	98	2888	420	1362	838	97	76	38
18998720	BP	2002	19	234120	6628	2246	254683	381	5358	355	1158	2624	514	371	31
18998750	Reuters	2002	18	140613	1874	1101	42266	45	298	131	708	18817	81	41	8
19006979	Macintosh	2001	19	133103	9670	4524	138531	167	1204	363	1089	3016	249	152	14
19013862	Index_of_Italy-related_articles	2008	12	871	4970	68	122419	0	9	6	5228	270	0	0	0
19026387	Hunter_Biden	2008	12	634945	1812	585	89666	78	2610	370	284	266	132	74	2
19042397	International_recognition_of_Abkhazia_and_South_Ossetia	2008	12	20409	3388	704	217474	218	2638	245	645	466	385	215	2
19064282	Management_of_depression	2007	14	6642	1376	360	120077	153	228	50	156	20	85	34	125
19065069	Boris_Johnson	2002	18	2048746	10406	3527	294363	384	2008	569	1380	3635	581	377	20
19084502	Michael_Phelps	2004	16	579753	4817	1857	200749	261	1300	507	1238	1585	306	259	6
19097669	British_people	2002	19	79813	3783	1310	180314	336	1857	308	1004	7146	166	132	95
19101187	German_submarine_U-1195	2008	12	313	103	36	9685	5	11	7	2489	2288	6	3	1
19133401	Google_Chrome	2008	12	463039	8804	3477	145027	271	1536	520	1069	1667	336	263	0
19159283	Seoul	2001	19	253894	6517	2826	113455	105	191	86	1113	16516	159	101	13
19167679	Virus	2001	20	371193	5951	2328	157918	207	1090	397	645	3957	124	27	182
19178965	Fungus	2001	19	238128	4147	1653	187470	233	715	271	1153	10215	176	59	211
19179592	Archaea	2001	19	145304	3798	1611	152732	217	390	145	778	1869	197	40	204
19179706	Abiogenesis	2001	19	130793	6243	2095	321149	411	2373	429	1264	1250	413	159	250
19180442	Iranian_peoples	2004	16	84863	5989	1825	106350	90	2919	381	705	2638	78	44	26
19186832	List_of_minor_planets:_190001–191000	2008	12	55	66	23	190187	0	10	10	140	112	2003	0	0
19188562	Gossip_Girl	2006	14	319256	8165	3952	128555	168	147	81	484	845	193	166	0
19218324	Anabolic_steroid	2002	19	92741	6334	2584	179547	240	1079	180	963	1693	154	83	189
19263282	Administrative_divisions_of_Iran	2008	12	2382	65	43	4056	0	7	4	131	54986	2	0	0
19264489	Ubuntu_version_history	2008	12	74347	2941	1075	192721	368	266	77	273	362	390	352	0
19265670	Centrifugal_force	2008	12	76082	1510	473	40966	20	2378	145	168	496	45	17	12
19279158	Labour_Party_(UK)	2001	19	361248	9373	3009	218642	165	2732	526	1261	21148	230	159	13
19280734	Liberalism	2001	19	455869	9239	3260	132750	93	3929	513	1317	6812	98	50	45
19283178	Benito_Mussolini	2001	20	801897	9057	4030	213820	113	1797	534	1289	4491	159	67	41
19283335	Great_Depression	2001	19	505329	11115	5024	150591	75	1689	801	1362	15988	136	45	34
19283361	New_Deal	2002	19	269868	10001	4803	198941	102	763	233	642	3036	146	56	68
19284336	Economy_of_China	2001	20	196197	6428	2669	287258	195	480	186	1359	1453	412	187	15
19285924	Titanic	2001	19	1144813	13595	5141	195319	87	3993	1162	739	600	166	79	6
19290261	Van_Gelder_Studio	2008	12	6608	1420	120	395239	13	38	13	2393	1741	16	13	0
19292127	List_of_2008_albums	2008	12	8924	1616	558	285638	783	11	10	2054	32	794	783	0
19326138	XXX:_Return_of_Xander_Cage	2008	12	1504456	2115	999	41152	50	50	33	152	98	69	49	0
19329135	Karl_Rove	2003	18	40652	5949	2598	78934	50	2482	386	390	884	120	41	7
19344515	The_Guardian	2002	19	273475	4906	2256	174499	229	1004	298	1042	68154	332	206	26
19344654	BBC	2001	19	716757	10738	4840	188226	184	1372	444	1256	51592	233	160	22
19345883	Anbar_campaign_(2003–2011)	2008	12	2275	973	192	201101	435	63	28	483	13	289	280	14
19346935	Amish	2002	19	466034	8495	3919	97168	89	938	279	412	1597	108	60	21
19347033	Breastfeeding	2002	18	93569	5969	2086	169359	221	1374	275	555	1129	192	108	121
19349705	The_Protocols_of_the_Elders_of_Zion	2004	17	156874	4771	1588	81946	109	2976	608	717	711	89	62	31
19351187	List_of_Internet_exchange_points	2008	12	7368	805	375	124451	363	45	16	534	93	389	363	0
19375577	Amyotrophic_lateral_sclerosis	2003	18	403252	5651	2395	145099	147	581	174	421	1577	114	28	126
